Designator,Mid X,Mid Y,Rotation,Layer
D1,107.15625,-95.72625,90.0,bottom
D10,183.35625,-114.77625,90.0,bottom
D11,107.15625,-133.82625,90.0,bottom
D12,126.20625,-133.82625,90.0,bottom
D13,145.25625,-133.82625,90.0,bottom
D14,164.30625,-133.82625,90.0,bottom
D15,183.35625,-133.82625,90.0,bottom
D16,88.10625,-81.43875,90.0,bottom
D17,145.25625,-81.43875,90.0,bottom
D18,126.20625,-81.43875,90.0,bottom
D19,107.15625,-81.43875,90.0,bottom
D2,126.20625,-95.72625,90.0,bottom
D3,145.25625,-95.72625,90.0,bottom
D4,164.30625,-95.72625,90.0,bottom
D5,183.35625,-95.72625,90.0,bottom
D6,107.15625,-114.77625,90.0,bottom
D7,126.20625,-114.77625,90.0,bottom
D8,145.25625,-114.77625,90.0,bottom
D9,164.30625,-114.77625,90.0,bottom
S1,97.63125,-92.86875,0.0,top
S10,173.83125,-111.91875,0.0,top
S11,97.63125,-130.96875,0.0,top
S12,116.68125,-130.96875,0.0,top
S13,135.73125,-130.96875,0.0,top
S14,154.78125,-130.96875,0.0,top
S15,173.83125,-130.96875,0.0,top
S2,116.68125,-92.86875,0.0,top
S3,135.73125,-92.86875,0.0,top
S4,154.78125,-92.86875,0.0,top
S5,173.83125,-92.86875,0.0,top
S6,97.63125,-111.91875,0.0,top
S7,116.68125,-111.91875,0.0,top
S8,135.73125,-111.91875,0.0,top
S9,154.78125,-111.91875,0.0,top
SW1,157.28125,-63.9375,270.0,top
SW2,138.23125,-63.9375,270.0,top
SW3,119.18125,-63.9375,270.0,top
SW4,100.13125,-63.9375,270.0,top
