Designator,Mid X,Mid Y,Rotation,Layer
D1,160.35338,-66.49,180.0,top
D10,160.35338,-129.21,180.0,top
D100,97.35338,-129.21,180.0,top
D11,153.90818,-66.49,180.0,top
D12,153.91338,-73.49,180.0,top
D13,153.91338,-80.49,180.0,top
D14,153.35338,-87.49,180.0,top
D15,153.35338,-94.49,180.0,top
D16,153.35338,-101.49,180.0,top
D17,153.35338,-108.49,180.0,top
D18,153.35338,-115.49,180.0,top
D19,153.35338,-122.21,180.0,top
D2,160.35338,-73.49,180.0,top
D20,153.35338,-129.21,180.0,top
D21,147.47338,-66.49,180.0,top
D22,147.47338,-73.49,180.0,top
D23,147.47338,-80.49,180.0,top
D24,146.35338,-87.49,180.0,top
D25,146.35338,-94.49,180.0,top
D26,146.35338,-101.49,180.0,top
D27,146.35338,-108.49,180.0,top
D28,146.35338,-115.49,180.0,top
D29,146.35338,-122.21,180.0,top
D3,160.35338,-80.49,180.0,top
D30,146.35338,-129.21,180.0,top
D31,141.03338,-66.49,180.0,top
D32,141.03338,-73.49,180.0,top
D33,141.03338,-80.49,180.0,top
D34,139.35338,-87.49,180.0,top
D35,139.35338,-94.49,180.0,top
D36,139.35338,-101.49,180.0,top
D37,139.35338,-108.49,180.0,top
D38,139.35338,-115.49,180.0,top
D39,139.35338,-122.21,180.0,top
D4,160.35338,-87.49,180.0,top
D40,139.35338,-129.21,180.0,top
D41,132.21078,-66.64,180.0,top
D42,132.07338,-73.49,180.0,top
D43,132.07338,-79.37,180.0,top
D44,132.35338,-87.49,180.0,top
D45,132.35338,-94.49,180.0,top
D46,132.35338,-101.49,180.0,top
D47,132.35338,-108.49,180.0,top
D48,132.35338,-115.49,180.0,top
D49,132.35338,-122.21,180.0,top
D5,160.35338,-94.49,180.0,top
D50,132.35338,-129.21,180.0,top
D51,125.49078,-66.64,180.0,top
D52,125.63338,-73.49,180.0,top
D53,125.63338,-79.37,180.0,top
D54,125.35338,-87.49,180.0,top
D55,125.35338,-94.49,180.0,top
D56,125.35338,-101.49,180.0,top
D57,125.35338,-108.49,180.0,top
D58,125.35338,-115.49,180.0,top
D59,125.35338,-122.21,180.0,top
D6,160.35338,-101.49,180.0,top
D60,125.35338,-129.21,180.0,top
D61,116.95338,-66.21,180.0,top
D62,116.95338,-73.49,180.0,top
D63,116.95338,-80.49,180.0,top
D64,118.35338,-87.49,180.0,top
D65,118.35338,-94.49,180.0,top
D66,118.35338,-101.49,180.0,top
D67,118.35338,-108.49,180.0,top
D68,118.35338,-115.49,180.0,top
D69,118.35338,-122.21,180.0,top
D7,160.35338,-108.49,180.0,top
D70,118.35338,-129.21,180.0,top
D71,110.51338,-66.21,180.0,top
D72,110.51338,-73.49,180.0,top
D73,110.51338,-80.49,180.0,top
D74,111.35338,-87.49,180.0,top
D75,111.63338,-94.49,180.0,top
D76,111.35338,-101.49,180.0,top
D77,111.35338,-108.49,180.0,top
D78,111.35338,-115.49,180.0,top
D79,111.35338,-122.21,180.0,top
D8,160.35338,-115.49,180.0,top
D80,111.35338,-129.21,180.0,top
D81,104.07338,-66.21,180.0,top
D82,104.07338,-73.49,180.0,top
D83,104.07338,-80.49,180.0,top
D84,104.35338,-87.49,180.0,top
D85,104.35338,-94.49,180.0,top
D86,104.35338,-101.49,180.0,top
D87,104.35338,-108.49,180.0,top
D88,104.35338,-115.49,180.0,top
D89,104.35338,-122.21,180.0,top
D9,160.35338,-122.21,180.0,top
D90,104.35338,-129.21,180.0,top
